area_health_resource_files_release_year,occupation_name,geography_name,hispanic,white,black,asian,pacific,indigenous,other,less_than_30,30_to_39,40_to_49,50_to_59,60+,male,female,hispanic-latino_%,white_%,black-african_american_%,asian_%,native_hawaiian-other_pacific_islander_%,american_indian-alaska_native_%,other-multiple_races_%,less_than_30_%,30_to_39_%,40_to_49_%,50_to_59_%,60+_%,male_%,female_%,missing-suppressed_raceethnicity_data_comment,missing-suppressed_age_data_comment,missing-suppressed_gender_data_comment,hrsa_data_warehouse_processing_date
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Alabama,,3989.0,418.0,81.0,,,,529.0,1559.0,1125.0,989.0,344.0,860.0,3686.0,,87.747,9.195,1.782,,,,11.637,34.294,24.747,21.755,7.567,18.918,81.082,Hispanic: Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Alaska,,643.0,,,,,,,342.0,230.0,,131.0,,757.0,,84.052,,,,,,,44.706,30.065,,17.124,,98.954,Hispanic: [No Data]; Black (Non-Hispanic): [No Data]; Asian (Non-Hispanic): [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: Supressed; Multiple/ Other Race: Supressed,Less than 30 Years Old: Supressed; 50 to 59 Years Old: Supressed,Male: Supressed,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Arizona,478.0,2998.0,125.0,193.0,,,122.0,95.0,1179.0,972.0,986.0,720.0,755.0,3197.0,12.095,75.86,3.163,4.884,,,3.087,2.404,29.833,24.595,24.949,18.219,19.104,80.896,Native Hawaiian/ Pacific Islander: Supressed; American Indian/ Alaska Native: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Arkansas,,1655.0,146.0,,,,,75.0,611.0,475.0,444.0,244.0,351.0,1498.0,,89.508,7.896,,,,,4.056,33.045,25.69,24.013,13.196,18.983,81.017,Hispanic: Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: Supressed; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),California,1364.0,7661.0,826.0,3169.0,,,469.0,906.0,4151.0,2993.0,2922.0,2585.0,2052.0,11505.0,10.061,56.51,6.093,23.375,,,3.459,6.683,30.619,22.077,21.553,19.068,15.136,84.864,Native Hawaiian/ Pacific Islander: Supressed; American Indian/ Alaska Native: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Colorado,98.0,2845.0,,,,,,117.0,972.0,499.0,972.0,558.0,505.0,2613.0,3.143,91.244,,,,,,3.752,31.174,16.004,31.174,17.896,16.196,83.804,Black (Non-Hispanic): Supressed; Asian (Non-Hispanic): Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Connecticut,106.0,2233.0,94.0,97.0,,,,178.0,607.0,485.0,550.0,710.0,292.0,2238.0,4.19,88.261,3.715,3.834,,,,7.036,23.992,19.17,21.739,28.063,11.542,88.458,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Delaware,,540.0,142.0,52.0,,,,,246.0,193.0,205.0,76.0,74.0,660.0,,73.569,19.346,7.084,,,,,33.515,26.294,27.929,10.354,10.082,89.918,Hispanic: [No Data]; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],Less than 30 Years Old: Supressed,,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),District of Columbia,,522.0,181.0,77.0,,,,71.0,394.0,67.0,153.0,152.0,,767.0,,62.366,21.625,9.2,,,,8.483,47.073,8.005,18.28,18.16,,91.637,Hispanic: Supressed; Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: [No Data],,Male: Supressed,2022/03/21
ACS 5-Year 2015-2019,Advanced Practice Registered Nurses (excl. Clinical Nurse Specialists),Florida,2154.0,9377.0,1321.0,706.0,,,,698.0,4271.0,3841.0,2917.0,1866.0,2272.0,11321.0,15.846,68.984,9.718,5.194,,,,5.135,31.421,28.257,21.46,13.728,16.714,83.286,Native Hawaiian/ Pacific Islander: [No Data]; American Indian/ Alaska Native: [No Data]; Multiple/ Other Race: Supressed,,,2022/03/21
